2022-07-19 19:45:22,959 INFO  [restartedMain] com.greenrent.GreenRentApplication:Starting GreenRentApplication using Java 11.0.13 on MY-PC with PID 18428 (C:\Users\h.vıcıl\Desktop\Java Project\Course\GreenRent\target\classes started by h.vıcıl in C:\Users\h.vıcıl\Desktop\Java Project\Course\GreenRent)
2022-07-19 19:45:41,265 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/v3/api-docs/**']
2022-07-19 19:45:41,267 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='swagger-ui.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-19 19:45:41,268 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='swagger-ui.html']
2022-07-19 19:45:41,268 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/swagger-ui/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-19 19:45:41,269 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/swagger-ui/**']
2022-07-19 19:45:41,269 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-19 19:45:41,269 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/']
2022-07-19 19:45:41,269 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='index.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-19 19:45:41,269 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='index.html']
2022-07-19 19:45:41,269 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/images/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-19 19:45:41,269 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/images/**']
2022-07-19 19:45:41,350 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@486826cb, org.springframework.security.web.context.SecurityContextPersistenceFilter@4d9a89eb, org.springframework.security.web.header.HeaderWriterFilter@765b16c5, org.springframework.security.web.authentication.logout.LogoutFilter@3a75baa9, com.greenrent.security.jwt.AuthTokenFilter@31eb316a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4185221, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4c607a3b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@545873a3, org.springframework.security.web.session.SessionManagementFilter@42445742, org.springframework.security.web.access.ExceptionTranslationFilter@2a0be0b8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@ec012ec]
2022-07-19 19:45:45,247 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer:LiveReload server is running on port 35729
2022-07-19 19:45:45,262 INFO  [restartedMain] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver:Exposing 8 endpoint(s) beneath base path '/actuator'
2022-07-19 19:45:45,424 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat started on port(s): 8080 (http) with context path ''
2022-07-19 19:45:45,456 INFO  [restartedMain] com.greenrent.GreenRentApplication:Started GreenRentApplication in 24.02 seconds (JVM running for 26.382)
